"Title:","Employed from the Current Population Survey: Labor Force Statistics Database"
"SubTitle:","USA - Industry: All Industries - Filter: Absence - Filter Item: N/A - Indicator: (Seas) Employment Level LNS12000000"
"Time:","01/1948 - 08/2022"
"Unit of Measure:","Number in thousands"
"Citation:","United States Census Bureau, Bureau of Labor Statistics (2022-09-16). Current Population Survey: Labor Force Statistics: Employed | All Industries | Absence | N/A | (Seas) Employment Level LNS12000000, 01/1948 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-042-004 doi:https://doi.org/10.6068/DP184764AAB1D4"
"ColumnCount:",2
"RowCount:",896

"Time","All Industries, Absence, N/A, (Seas) Employment Level LNS12000000 (Number in thousands)"
"10/1986",110273
"11/1986",110475
"12/1986",110728
"01/1987",110953
"02/1987",111257
"03/1987",111408
"04/1987",111794
"05/1987",112434
"06/1987",112246
"07/1987",112634
"08/1987",113057
"09/1987",112909
"10/1987",113282
"11/1987",113505
"12/1987",113793
"01/1988",114016
"02/1988",114227
"03/1988",114037
"04/1988",114650
"05/1988",114292
"06/1988",114927
"07/1988",115060
"08/1988",115282
"09/1988",115356
"10/1988",115638
"11/1988",116100
"12/1988",116104
"01/1989",116708
"02/1989",116776
"03/1989",117022
"04/1989",117097
"05/1989",117099
"06/1989",117418
"07/1989",117472
"08/1989",117655
"09/1989",117354
"10/1989",117581
"11/1989",117912
"12/1989",117830
"01/1990",119081
"02/1990",119059
"03/1990",119203
"04/1990",118852
"05/1990",119151
"06/1990",118983
"07/1990",118810
"08/1990",118802
"09/1990",118524
"10/1990",118536
"11/1990",118306
"12/1990",118241
"01/1991",117940
"02/1991",117755
"03/1991",117652
"04/1991",118109
"05/1991",117440
"06/1991",117639
"07/1991",117568
"08/1991",117484
"09/1991",117928
"10/1991",117800
"11/1991",117770
"12/1991",117466
"01/1992",117978
"02/1992",117753
"03/1992",118144
"04/1992",118426
"05/1992",118375
"06/1992",118419
"07/1992",118713
"08/1992",118826
"09/1992",118720
"10/1992",118628
"11/1992",118876
"12/1992",118997
"01/1993",119075
"02/1993",119275
"03/1993",119542
"04/1993",119474
"05/1993",120115
"06/1993",120290
"07/1993",120467
"08/1993",120856
"09/1993",120554
"10/1993",120823
"11/1993",121169
"12/1993",121464
"01/1994",121966
"02/1994",122086
"03/1994",121930
"04/1994",122290
"05/1994",122864
"06/1994",122634
"07/1994",122706
"08/1994",123342
"09/1994",123687
"10/1994",124112
"11/1994",124516
